SessionNum,Elapsed Time,Clock Time,ProbSleepOnset,ProbDistraction,ProbLowEng,ProbHighEng,CogState,ProbFBDSWorkload,ProbBDSWorkload,ProbAveWorkload
184103000,00:14:22:000,01:19:00:798,0.156389475,0,0.005658159,0.837952375,0.9,0.472863,0.325597,0.39923
184103000,00:14:23:000,01:19:01:798,0.000233529,0,0.395370036,0.604396403,0.9,0.65194,0.580153,0.616047
184103000,00:14:24:000,01:19:02:798,0.02557181,0,0.340438336,0.633989871,0.9,0.849439,0.8336,0.84152
184103000,00:14:25:000,01:19:03:798,0.000862071,0,0.191602767,0.807535172,0.9,0.647694,0.780902,0.714298
184103000,00:14:26:000,01:19:04:796,0.006954162,0,0.068351246,0.924694598,0.9,0.410683,0.493143,0.451913
184103000,00:14:27:000,01:19:05:802,0.057937652,0,0.243203029,0.698859334,0.9,0.735421,0.781209,0.758315
184103000,00:14:28:000,01:19:06:796,0.350643486,0,0.003308247,0.646048248,0.9,0.556515,0.431553,0.494034
184103000,00:14:29:000,01:19:07:798,0.032741509,0,0.027102578,0.940155923,0.9,0.599573,0.403698,0.501635
184103000,00:14:30:000,01:19:08:798,0.003524045,0,0.103019796,0.893456161,0.9,0.621201,0.765185,0.693193
184103000,00:14:31:000,01:19:09:796,0.004685034,0,0.124754801,0.870560169,0.9,0.39489,0.399183,0.397036
184103000,00:14:32:000,01:19:10:803,0.007407353,0,0.134667978,0.8579247,0.9,0.415681,0.378244,0.396962
184103000,00:14:33:000,01:19:11:796,2.67E-05,0,0.196441963,0.803531289,0.9,0.696302,0.545104,0.620703
184103000,00:14:34:000,01:19:12:797,0.004997559,0,0.281498373,0.713504076,0.9,0.433855,0.261399,0.347627
184103000,00:14:35:000,01:19:13:796,0.014079598,0,0.09509667,0.890823722,0.9,0.463232,0.279841,0.371536
184103000,00:14:36:000,01:19:14:801,0.001192198,0,0.130965695,0.867842078,0.9,0.831054,0.704493,0.767773
184103000,00:14:37:000,01:19:15:797,1.95E-07,0,0.53456974,0.465430081,0.6,0.614377,0.432888,0.523633
184103000,00:14:38:000,01:19:16:800,1.63E-05,0,0.131461591,0.868522048,0.9,0.655724,0.545293,0.600508
184103000,00:14:39:000,01:19:17:806,3.59E-05,0,0.071040064,0.928924024,0.9,0.788551,0.870395,0.829473
