@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute state {1,2}

@data
0.000000000138,0.000043695683,0.257032543421,0.742923796177,0.900000,0.353756,0.218453,0.286105,1
0.000000000704,0.002808272373,0.614989042282,0.382202684879,0.600000,0.410123,0.368564,0.389344,1
0.000000000452,0.264401316643,0.513206124306,0.222392514348,0.600000,0.221283,0.265367,0.243325,1
0.000000000111,0.000108250482,0.000261321547,0.999630451202,0.900000,0.207552,0.172302,0.189927,1
0.000018390689,0.136429592967,0.599759578705,0.263792425394,0.600000,0.286310,0.379815,0.333062,1
0.000074883137,0.000010505436,0.683444142342,0.316470444202,0.600000,0.553303,0.429852,0.491578,1
0.000000116249,0.000000076138,0.108151331544,0.891848504543,0.900000,0.330761,0.283653,0.307207,1
0.000001054110,0.000000000000,0.003489794442,0.996509134769,0.900000,0.318471,0.250663,0.284567,1
0.003656222485,0.000000000278,0.141923636198,0.854420125484,0.900000,0.399035,0.351596,0.375315,1
0.000024417961,0.000000045931,0.753535985947,0.246439531446,0.600000,0.626598,0.478228,0.552413,1
0.000000052537,0.000007105779,0.456242859364,0.543749988079,0.900000,0.183476,0.127478,0.155477,1
0.000000000002,0.000000236035,0.140270292759,0.859729468822,0.900000,0.305893,0.177489,0.241691,1
0.000000004337,0.000140868229,0.048396706581,0.951462447643,0.900000,0.310423,0.202751,0.256587,1
0.000123772072,0.004056181759,0.159334838390,0.836485207081,0.900000,0.285224,0.236007,0.260616,1
0.000000014374,0.000000066204,0.018704960123,0.981294929981,0.900000,0.136083,0.228752,0.182417,1
0.000000010579,0.002700322773,0.198932498693,0.798367142677,0.900000,0.179689,0.199988,0.189838,1
0.000000345764,0.027329076082,0.653887212276,0.318783372641,0.600000,0.349843,0.219797,0.284820,1
0.000000000346,0.000004342255,0.855443239212,0.144552394748,0.600000,0.320076,0.338716,0.329396,1
0.000000000174,0.000070687565,0.871241211891,0.128688082099,0.600000,0.394151,0.486518,0.440335,1
0.000000000113,0.687188565731,0.293739050627,0.019072419032,0.300000,0.115870,0.254877,0.185374,1
0.000000000018,0.002404130064,0.076888106763,0.920707762241,0.900000,0.435536,0.404123,0.419830,1
0.000000193464,0.004501141142,0.906497716904,0.089000977576,0.600000,0.401312,0.374983,0.388148,1
0.000000000910,0.012837133370,0.108709454536,0.878453433514,0.900000,0.371508,0.402395,0.386951,1
0.000000003650,0.000476239191,0.219668120146,0.779855608940,0.900000,0.316265,0.329104,0.322684,1
0.000000012894,0.000000000468,0.022111006081,0.977889001369,0.900000,0.321361,0.219405,0.270383,1
0.000000124339,0.000000000000,0.034495171160,0.965504705906,0.900000,0.350282,0.267770,0.309026,1
0.000000102055,0.000000000030,0.016970977187,0.983028948307,0.900000,0.363279,0.376849,0.370064,1
0.000000002616,0.000814308238,0.647883534431,0.351302176714,0.600000,0.490556,0.437783,0.464170,1
0.000000000004,0.005125398748,0.175590008497,0.819284617901,0.900000,0.217195,0.163683,0.190439,1
0.000000000000,0.027516951784,0.012440866791,0.960042178631,0.900000,0.246506,0.175129,0.210818,1
0.000000000147,0.015885541216,0.677380442619,0.306734025478,0.600000,0.525672,0.426698,0.476185,1
0.000289354008,0.000000711509,0.597446084023,0.402263820171,0.600000,0.333858,0.375486,0.354672,1
0.000000001455,0.000038593298,0.111067928374,0.888893485069,0.900000,0.229188,0.086871,0.158029,1
0.000000042893,0.000000341786,0.407206326723,0.592793285847,0.900000,0.250530,0.205046,0.227788,1
0.000001158840,0.008107602596,0.768298864365,0.223592355847,0.600000,0.463506,0.458521,0.461014,1
0.000000003630,0.081375502050,0.207284376025,0.711340129375,0.900000,0.210311,0.150045,0.180178,1
0.000000000108,0.000124535771,0.574216306210,0.425659149885,0.600000,0.214947,0.240532,0.227740,1
