@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute state {1,2}

@data
0.000006127105,0.000005147621,0.015668818727,0.984319925308,0.900000,0.413826,0.446974,0.430400,1
0.000005638158,0.000801349292,0.107790119946,0.891402900219,0.900000,0.463780,0.336352,0.400066,1
0.000000027165,0.000017776578,0.091657817364,0.908324360847,0.900000,0.455471,0.534895,0.495183,1
0.000000338518,0.655838191509,0.286290168762,0.057871293277,0.300000,0.485801,0.493057,0.489429,1
0.000110197339,0.569236278534,0.247049242258,0.183604300022,0.300000,0.251584,0.333265,0.292424,1
0.000000003973,0.024259449914,0.243237018585,0.732503533363,0.900000,0.377785,0.290874,0.334330,1
0.000000008383,0.000039104863,0.352280944586,0.647679924965,0.900000,0.752554,0.547162,0.649858,1
0.000001664196,0.079678334296,0.871090590954,0.049229394644,0.600000,0.813566,0.766400,0.789983,1
0.000005646230,0.492675751448,0.346980899572,0.160337716341,0.300000,0.459668,0.501608,0.480638,1
0.000001181388,0.000890112657,0.422994762659,0.576113939285,0.900000,0.498725,0.349189,0.423957,1
0.000068128924,0.000003910944,0.013484440744,0.986443519592,0.900000,0.601404,0.426506,0.513955,1
0.017933407798,0.000214422165,0.882209539413,0.099642619491,0.600000,0.832824,0.715492,0.774158,1
0.000000108000,0.044158563018,0.913633108139,0.042208194733,0.600000,0.758284,0.733106,0.745695,1
0.000011622868,0.000205337943,0.023923814297,0.975859224796,0.900000,0.756629,0.694623,0.725626,1
0.004289988428,0.000299445877,0.265128880739,0.730281651020,0.900000,0.685427,0.435597,0.560512,1
0.000613843615,0.000009670962,0.310707092285,0.688669383526,0.900000,0.691181,0.439851,0.565516,1
0.000002613698,0.004554674495,0.130916297436,0.864526391029,0.900000,0.556710,0.456460,0.506585,1
0.002065803623,0.987149596214,0.002426637569,0.008357951418,0.300000,0.242759,0.313961,0.278360,1
0.204068839550,0.031705677509,0.255435556173,0.508789896965,0.900000,0.345423,0.174204,0.259814,1
0.000624392356,0.000096060547,0.348892420530,0.650387167931,0.900000,0.530135,0.366800,0.448467,1
0.000083085477,0.000139801690,0.085402928293,0.914374172688,0.900000,0.657408,0.649622,0.653515,1
0.000002138260,0.000143989164,0.602519690990,0.397334158421,0.600000,0.674578,0.605153,0.639865,1
0.000000217896,0.000000571017,0.600583851337,0.399415373802,0.600000,0.620958,0.492040,0.556499,1
0.000031103104,0.000000000000,0.040451817214,0.959517061710,0.900000,0.574711,0.571213,0.572962,1
0.000000000032,0.005214952398,0.979557812214,0.015227228403,0.600000,0.758312,0.704750,0.731531,1
0.000000146075,0.000000081719,0.565585196018,0.434414565563,0.600000,0.776408,0.543496,0.659952,1
0.000009923765,0.000000483109,0.862328410149,0.137661203742,0.600000,0.705146,0.491850,0.598498,1
0.003071440849,0.000000003189,0.414413005114,0.582515537739,0.900000,0.402470,0.340343,0.371407,1
0.000000213886,0.000027634984,0.811297237873,0.188674896955,0.600000,0.544188,0.423780,0.483984,1
0.000002569775,0.000168510043,0.632709801197,0.367119103670,0.600000,0.866176,0.732464,0.799320,1
0.000234706080,0.000002627161,0.713575839996,0.286186844110,0.600000,0.871455,0.832641,0.852048,1
0.000002985879,0.000015985279,0.229794189334,0.770186841488,0.900000,0.666591,0.559970,0.613280,1
0.000000291269,0.000081589889,0.039756342769,0.960161805153,0.900000,0.369547,0.418155,0.393851,1
0.000000016491,0.001851450070,0.824275791645,0.173872724175,0.600000,0.456570,0.629976,0.543273,1
0.000000004711,0.027972247452,0.890035152435,0.081992581487,0.600000,0.536224,0.537100,0.536662,1
0.000007165994,0.889785110950,0.092390626669,0.017817094922,0.300000,0.373729,0.346735,0.360232,1
0.000284592708,0.978973150253,0.020732527599,0.000009753685,0.300000,0.509206,0.410249,0.459728,1
0.000000007260,0.000100329213,0.039863821119,0.960035860538,0.900000,0.365225,0.558142,0.461683,1
0.000000114206,0.000003018456,0.644326329231,0.355670541525,0.600000,0.345976,0.256923,0.301450,1
0.000002920265,0.000253292761,0.451682448387,0.548061370850,0.900000,0.529960,0.314462,0.422211,1
0.000017483135,0.000000000043,0.230731591582,0.769250929356,0.900000,0.755022,0.603180,0.679101,1
0.000008785047,0.000000000187,0.038263317198,0.961727917194,0.900000,0.433250,0.389429,0.411340,1
0.000000025848,0.000015290449,0.098247006536,0.901737689972,0.900000,0.493768,0.524588,0.509178,1
0.000873877609,0.000000067803,0.783692359924,0.215433716774,0.600000,0.645066,0.504517,0.574792,1
0.000007642514,0.100913047791,0.649946093559,0.249133229256,0.600000,0.494041,0.598618,0.546329,1
0.000059078073,0.003769907635,0.174706220627,0.821464776993,0.900000,0.402593,0.498772,0.450683,1
0.002513918560,0.001824675826,0.110783874989,0.884877502918,0.900000,0.569524,0.608663,0.589094,1
0.000020564379,0.000000000508,0.000198595415,0.999780833721,0.900000,0.528068,0.484686,0.506377,1
0.000023207169,0.002115538344,0.122629024088,0.875232219696,0.900000,0.466754,0.370708,0.418731,1
0.032123647630,0.000088130517,0.096477165818,0.871311068535,0.900000,0.386843,0.462033,0.424438,1
0.000882242632,0.000442640652,0.010325100273,0.988350033760,0.900000,0.461364,0.593738,0.527551,1
0.000000004730,0.000348395464,0.232824578881,0.766827046871,0.900000,0.172468,0.248754,0.210611,1
0.000000031828,0.000655241020,0.001007568208,0.998337149620,0.900000,0.181306,0.150798,0.166052,1
0.000050992501,0.000000031555,0.005416351371,0.994532644749,0.900000,0.321813,0.285557,0.303685,1
0.024707973003,0.000054230506,0.179895132780,0.795342683792,0.900000,0.388753,0.470410,0.429582,1
0.000000036821,0.468725174665,0.074656940997,0.456617832184,0.300000,0.469139,0.541397,0.505268,1
0.000000000006,0.000008327554,0.016981698573,0.983009994030,0.900000,0.382764,0.512597,0.447681,1
0.000000007959,0.000001638368,0.276776969433,0.723221421242,0.900000,0.339932,0.590731,0.465332,1
0.000000017573,0.000087707813,0.719191253185,0.280721008778,0.600000,0.491519,0.482128,0.486823,1
0.000010157381,0.000016533138,0.109066650271,0.890906631947,0.900000,0.218431,0.221165,0.219798,1
0.000007901209,0.001358537585,0.944670259953,0.053963303566,0.600000,0.442730,0.544817,0.493773,1
0.000000326389,0.530975520611,0.253050506115,0.215973615646,0.300000,0.227618,0.445737,0.336678,1
0.000000258120,0.711071670055,0.082409031689,0.206519052386,0.300000,0.203352,0.234893,0.219123,1
0.000021806172,0.997538089752,0.002439587610,0.000000532062,0.300000,0.265698,0.328921,0.297310,1
0.000146760925,0.196638748050,0.799385249615,0.003829218913,0.600000,0.542724,0.495350,0.519037,1
0.000001930835,0.092029906809,0.805181145668,0.102787025273,0.600000,0.463061,0.424007,0.443534,1
0.000000052766,0.579563796520,0.181126937270,0.239309221506,0.300000,0.389396,0.503414,0.446405,1
0.000000147800,0.335525780916,0.353095293045,0.311378806829,0.600000,0.261138,0.357644,0.309391,1
0.000003383624,0.000007243157,0.143174126744,0.856815278530,0.900000,0.520459,0.584647,0.552553,1
0.000016828642,0.000004025228,0.019240260124,0.980738878250,0.900000,0.254312,0.270884,0.262598,1
0.000138299729,0.000000000000,0.043369866908,0.956491827965,0.900000,0.414551,0.315292,0.364921,1
0.000000000172,0.001684433548,0.000095254240,0.998220324516,0.900000,0.443579,0.386542,0.415060,1
0.000000000303,0.000358339399,0.000001218937,0.999640464783,0.900000,0.218533,0.237093,0.227813,1
0.000000336360,0.001423592330,0.566655516624,0.431920558214,0.600000,0.331408,0.378316,0.354862,1
