@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute state {1,2}

@data
1.983020,2.308594,1.572737,1.261943,2
2.150673,2.112396,1.562503,1.340083,2
2.276199,2.289280,1.644472,1.277707,2
2.469473,2.413779,1.714279,1.235329,2
2.505620,2.690294,1.777601,1.123985,2
2.621739,2.434061,1.678665,1.156299,2
2.599512,2.336761,1.589024,1.238637,2
2.367147,2.342214,1.624639,1.272491,2
2.244892,2.538623,1.619358,1.214157,1
2.356979,2.369444,1.726674,1.307070,1
2.292224,2.272335,1.625348,1.261539,1
2.437032,2.467354,1.608489,1.153846,1
2.544598,2.372363,1.592636,1.195027,1
2.440729,2.274510,1.636295,1.384658,1
2.183114,2.339457,1.652573,1.303409,1
2.096215,2.454476,1.661219,1.171204,1
2.481117,2.402547,1.594391,1.116698,1
2.337813,2.200153,1.496108,1.088171,1
2.092336,2.384146,1.576670,1.071241,1
2.485245,2.434481,1.546862,1.232927,1
2.233128,2.421285,1.616335,1.173510,1
2.046546,2.610844,1.763297,1.036119,1
2.351793,2.418449,1.672365,1.202299,1
2.527937,2.228762,1.542634,1.373972,1
2.487638,2.389805,1.544378,1.211055,1
2.671351,2.489716,1.587225,1.240928,1
2.468482,2.354129,1.542883,1.173121,1
2.356358,2.530246,1.589107,1.012355,1
2.173767,2.244696,1.585686,1.252122,1
2.278843,2.185449,1.610427,1.106763,1
2.406432,2.412891,1.637231,0.949735,1
2.356717,2.477299,1.631600,1.030186,1
2.261384,2.373437,1.634138,1.059843,1
2.347800,2.346552,1.676792,1.136201,1
2.521450,2.388524,1.622426,1.189192,1
2.588970,2.431802,1.574314,1.092386,1
2.688875,2.277038,1.542009,1.025211,1
2.559764,2.473745,1.628140,0.968662,1
2.127443,2.445209,1.629171,1.025074,1
2.313602,2.432175,1.557090,1.122603,1
2.209487,2.438191,1.584852,1.073791,1
2.368225,2.563484,1.565020,1.146605,1
2.332049,2.304085,1.542059,1.123632,1
2.421030,2.289939,1.578661,1.168503,1
2.367090,2.143478,1.442473,1.115175,1
2.379430,2.226360,1.533524,1.031556,1
2.434193,2.312969,1.574188,1.005519,1
2.276846,2.661275,1.551430,1.015163,1
2.503356,2.575850,1.441212,0.943545,1
2.212249,2.242822,1.541326,1.115473,1
2.314395,2.258139,1.566950,1.172065,1
2.307877,2.034505,1.640095,1.081680,1
1.828067,2.206161,1.629479,1.001154,1
2.127538,2.429381,1.614578,0.973448,1
2.271914,2.328868,1.482281,1.145291,1
2.531796,2.551512,1.691952,1.174069,1
2.515025,2.559653,1.658904,0.989017,1
