@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute state {1,2}

@data
0.000630234135,0.978565514088,0.006226613652,0.014577616006,0.300000,0.284595,0.273293,0.278944,1
0.000844509632,0.034953407943,0.007149794605,0.957052290440,0.900000,0.546487,0.258242,0.402364,1
0.000000675068,0.017267767340,0.877561330795,0.105170197785,0.600000,0.856124,0.712004,0.784064,1
0.000239780144,0.219633027911,0.005347729661,0.774779438972,0.900000,0.518383,0.379791,0.449087,1
0.000383890554,0.957984983921,0.016631243750,0.024999853224,0.300000,0.322733,0.416229,0.369481,1
0.000210369515,0.781758785248,0.009285147302,0.208745673299,0.300000,0.620606,0.682493,0.651550,1
0.008614036255,0.390440434217,0.013838605024,0.587106943130,0.900000,0.527816,0.562145,0.544981,1
0.080022625625,0.383810311556,0.359526813030,0.176640257239,0.300000,0.602102,0.557500,0.579801,1
0.025474272668,0.370168060064,0.004133195151,0.600224494934,0.900000,0.497137,0.317715,0.407426,1
0.459711819887,0.352145940065,0.000586195383,0.187556058168,0.100000,0.355500,0.435074,0.395287,1
0.096137650311,0.840486645699,0.039474565536,0.023901153356,0.300000,0.254045,0.220886,0.237466,1
0.000444353413,0.142827853560,0.001029575709,0.855698227882,0.900000,0.496904,0.443463,0.470183,1
0.008307090029,0.040806636214,0.000086195156,0.950800061226,0.900000,0.614339,0.447856,0.531097,1
0.306258857250,0.000970942201,0.001182040549,0.691588163376,0.900000,0.405997,0.259867,0.332932,1
0.001975759398,0.112657129765,0.042005870491,0.843361258507,0.900000,0.618042,0.328573,0.473308,1
0.004231335130,0.556211888790,0.183402985334,0.256153792143,0.300000,0.443938,0.616941,0.530439,1
0.015240662731,0.032265521586,0.406989902258,0.545503914356,0.900000,0.523301,0.340780,0.432041,1
0.002655535936,0.067608043551,0.233410760760,0.696325659752,0.900000,0.326171,0.218682,0.272426,1
0.000002114594,0.138893157244,0.204775527120,0.656329214573,0.900000,0.503880,0.609861,0.556871,1
0.000030415882,0.669730603695,0.262007355690,0.068231604993,0.300000,0.620642,0.816919,0.718781,1
0.001496585784,0.157573357224,0.235263332725,0.605666697025,0.900000,0.221575,0.302788,0.262181,1
0.000015279453,0.008245059289,0.195997402072,0.795742273331,0.900000,0.425524,0.480590,0.453057,1
0.000127546431,0.013630298898,0.003824018175,0.982418119907,0.900000,0.646616,0.532813,0.589714,1
0.001567448606,0.968619763851,0.007769339252,0.022043447942,0.300000,0.503903,0.375570,0.439736,1
0.000235777581,0.349179387093,0.159152165055,0.491432666779,0.900000,0.698236,0.733293,0.715765,1
0.005599914584,0.379322767258,0.018417008221,0.596660315990,0.900000,0.558941,0.319543,0.439242,1
0.006499176379,0.884851455688,0.029576485977,0.079072900116,0.300000,0.498013,0.424724,0.461368,1
0.000008964167,0.976429343224,0.022302638739,0.001259080367,0.300000,0.426311,0.406665,0.416488,1
0.000028714439,0.572946250439,0.023380039260,0.403644979000,0.300000,0.432090,0.533999,0.483044,1
0.000155813861,0.274125844240,0.364130854607,0.361587494612,0.600000,0.647555,0.716228,0.681892,1
0.040550339967,0.496598094702,0.152808427811,0.310043126345,0.300000,0.752878,0.850249,0.801564,1
0.000248920027,0.273366600275,0.007396985311,0.718987464905,0.900000,0.750087,0.739419,0.744753,1
0.006849518046,0.011566082016,0.015973057598,0.965611338615,0.900000,0.400225,0.572215,0.486220,1
