@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute state {1,2,3,4}

@data
0.000719596981,0.001362342504,0.101417146623,0.896500945091,0.900000,0.679707,0.779401,0.729554,1
0.000023126571,0.840938568115,0.028953587636,0.130084693432,0.300000,0.484403,0.503993,0.494198,1
0.000052547271,0.717124164104,0.079712733626,0.203110545874,0.300000,0.413087,0.447443,0.430265,1
0.036052256823,0.000085982603,0.798048913479,0.165812835097,0.600000,0.457274,0.282763,0.370018,1
0.247184053063,0.000002979226,0.005340664182,0.747472286224,0.900000,0.432299,0.493451,0.462875,1
0.000890331459,0.005519897677,0.090258650482,0.903331100941,0.900000,0.545731,0.427605,0.486668,1
0.000000243219,0.000039405939,0.966917455196,0.033042892814,0.600000,0.595682,0.642591,0.619136,1
0.000000032081,0.001235394739,0.960694134235,0.038070414215,0.600000,0.590792,0.591349,0.591071,1
0.000069668880,0.014411770739,0.475965350866,0.509553194046,0.900000,0.382294,0.262377,0.322335,1
0.655229032040,0.029441056773,0.044394314289,0.270935624838,0.100000,0.502097,0.633682,0.567890,1
0.005880858749,0.004327745643,0.980278909206,0.009512515739,0.600000,0.738140,0.590685,0.664412,1
0.002990277950,0.013602321967,0.238282084465,0.745125293732,0.900000,0.477069,0.438738,0.457904,1
0.003768131137,0.001518586650,0.010688212700,0.984025061131,0.900000,0.339031,0.474960,0.406995,1
0.000204207143,0.001050950843,0.621313512325,0.377431333065,0.600000,0.490582,0.501647,0.496115,1
0.000041577478,0.010939544067,0.721459269524,0.267559647560,0.600000,0.544960,0.518580,0.531770,1
0.001110216486,0.001865933184,0.931000590324,0.066023282707,0.600000,0.625125,0.552246,0.588686,1
0.000313342549,0.000091772294,0.882864236832,0.116730652750,0.600000,0.486453,0.382752,0.434602,1
0.015413998626,0.000450640189,0.929757714272,0.054377656430,0.600000,0.677471,0.505835,0.591653,1
0.000895787380,0.000018686877,0.511632680893,0.487452834845,0.600000,0.675508,0.504613,0.590060,1
0.000046964597,0.049120754004,0.767010927200,0.183821335435,0.600000,0.509774,0.387357,0.448566,1
0.000021632279,0.001653704443,0.745129883289,0.253194779158,0.600000,0.548626,0.389794,0.469210,1
0.001461852458,0.015701295808,0.802347242832,0.180489584804,0.600000,0.613540,0.320008,0.466774,1
0.000033014654,0.381075918674,0.605543017387,0.013348056935,0.600000,0.739834,0.565159,0.652496,1
0.000214132568,0.007538472302,0.269446074963,0.722801327705,0.900000,0.345626,0.308236,0.326931,1
0.000340698229,0.036280706525,0.906123697758,0.057254910469,0.600000,0.712316,0.450013,0.581164,1
0.000236270673,0.000514913001,0.915682017803,0.083566792309,0.600000,0.738244,0.464595,0.601420,1
0.001464193570,0.001828934182,0.985496759415,0.011210100725,0.600000,0.698891,0.489562,0.594226,1
0.468260318041,0.000046528792,0.010040665045,0.521652460098,0.900000,0.601770,0.638114,0.619942,1
0.005099821370,0.003034549300,0.396014064550,0.595851540565,0.900000,0.635233,0.645582,0.640408,1
0.000000475365,0.175515711308,0.721476554871,0.103007234633,0.600000,0.484025,0.480024,0.482024,1
0.000000753963,0.044696517289,0.031519792974,0.923782944679,0.900000,0.366109,0.336217,0.351163,1
0.000285141869,0.189757481217,0.557068884373,0.252888470888,0.600000,0.635725,0.586913,0.611319,1
0.001406107796,0.002101325663,0.124025098979,0.872467458248,0.900000,0.305999,0.227073,0.266536,1
0.000912579126,0.046521622688,0.504803836346,0.447761982679,0.600000,0.293933,0.229185,0.261559,1
0.041390638798,0.182453736663,0.064876735210,0.711278915405,0.900000,0.735784,0.382525,0.559154,1
0.000241738831,0.003882789519,0.446679562330,0.549195885658,0.900000,0.463991,0.428769,0.446380,1
0.000373084709,0.027843551710,0.862660944462,0.109122417867,0.600000,0.497276,0.301290,0.399283,1
0.052875068039,0.060204178095,0.186567932367,0.700352847576,0.900000,0.608241,0.467517,0.537879,1
0.000018203578,0.041721969843,0.382214546204,0.576045274734,0.900000,0.349677,0.235938,0.292807,1
0.000000059156,0.201351583004,0.561882078648,0.236766278744,0.600000,0.630335,0.478547,0.554441,1
0.000017147799,0.250490188599,0.088172607124,0.661320030689,0.900000,0.482990,0.291921,0.387455,1
