@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute state {1,2}

@data
2.709105,2.525729,2.235752,2.452829,2.309344,2.050833,2.209858,2.105759,1.654840,2.615680,2.684947,2.561873,2.566515,1.985997,1.726862,1.827379,1.735767,1.433259,2.616430,2.660155,2.542954,2.536188,1.836572,1.613479,1.754905,1.692349,1.444052,2.745995,2.744849,2.524927,2.605432,1.989969,1.807827,1.910842,1.793196,1.467612,2.129911,2.334289,2.077566,2.217076,1.882267,1.895912,1.880914,1.835665,1.353158,3.014618,3.098501,2.926349,2.985930,2.314201,1.963104,2.146400,1.865865,1.742534,2.401006,2.847567,2.591849,2.725710,2.229991,2.139926,2.119811,2.033681,1.716856,2.641508,2.504526,2.274465,2.407717,2.143474,1.962451,2.069028,1.962222,1.443048,2.483898,2.321670,2.132800,2.289018,2.167163,2.019773,2.119137,2.082821,1.674112,1
2.109211,1.923932,1.823285,1.871079,1.968239,1.558952,1.791377,1.643460,1.715088,2.445675,2.473639,2.443741,2.443197,2.233560,1.752845,2.049008,1.749313,1.553577,2.087047,2.310109,2.340117,2.288080,1.641663,1.644240,1.643928,1.711000,1.643053,2.568362,2.634850,2.460114,2.516599,1.943344,1.663049,1.824818,1.670353,1.579321,1.381343,1.967176,1.916246,1.899283,1.860748,1.943864,1.872635,1.712707,1.491619,2.950052,3.048625,2.868146,2.938370,2.365133,1.893888,2.186291,1.851377,1.828003,2.274743,2.630712,2.316387,2.523049,2.443038,2.200287,2.286228,1.851168,1.747680,2.264958,2.223366,2.142689,2.155219,1.644687,1.611835,1.652875,1.496808,1.382256,1.855324,1.778583,1.638200,1.714523,2.071271,2.067534,2.017722,1.915378,1.790427,1
1.797461,1.841913,1.717037,1.796949,2.073564,2.193978,2.163939,2.222475,1.801889,1.860790,1.949973,2.223258,2.164338,2.493857,2.211243,2.377971,2.039107,1.574605,1.571798,2.067263,2.184304,2.177779,2.199888,2.156869,2.216304,2.215559,1.765691,1.557334,1.981130,2.154575,2.087495,2.035887,2.097920,2.124808,2.087096,1.539014,1.504198,1.793190,1.851017,1.802978,1.989541,1.756842,1.821725,1.479215,1.402882,1.812772,1.928460,2.237407,2.158031,2.347193,2.327836,2.371518,2.209063,1.709256,1.824248,2.003380,2.072713,2.059549,2.491122,2.069712,2.291198,1.756831,1.702149,1.553195,1.957498,2.132195,2.035802,1.880737,1.938906,1.961699,1.910936,1.534871,1.436326,1.486790,1.486906,1.496426,2.160623,2.224234,2.156337,2.103134,1.728999,1
2.427075,2.243038,2.164264,2.206646,2.150023,2.147851,2.169438,2.230107,1.831779,2.288309,2.559937,2.423853,2.492216,2.070870,1.649175,1.893313,1.493530,1.350019,2.532563,2.670854,2.549559,2.632650,2.234601,1.891646,2.109997,1.845613,1.538030,2.886689,2.939605,2.165880,2.754085,2.328688,1.872444,2.140559,1.707351,1.437967,2.608026,2.727671,2.540370,2.657060,2.001438,1.733341,1.872602,1.584647,1.588202,3.157185,3.279490,2.479844,3.088398,2.629629,2.040287,2.406414,1.865404,1.620685,3.189909,3.264637,3.021035,3.176626,2.115883,2.007064,2.033849,1.728307,1.687091,2.634780,2.722181,2.302438,2.580104,2.107486,1.917286,2.020277,1.813506,1.568364,1.926158,2.090179,2.135633,2.047536,2.014577,1.998229,2.031373,2.101368,1.768936,1
2.203912,2.385135,2.073680,2.283817,2.201218,2.296576,2.277090,2.275263,1.857085,1.988150,2.079902,2.341528,2.242355,2.227242,1.836030,2.068182,1.979939,1.584800,2.363355,2.517156,2.486208,2.510993,2.064015,2.065675,2.108334,2.086448,1.604510,2.523578,2.692360,2.307764,2.567480,2.289376,2.087390,2.214700,1.994945,1.504328,2.133127,2.200762,2.086254,2.162595,1.863221,1.808645,1.854672,1.800967,1.363940,2.591251,2.802989,2.719260,2.781755,2.506473,2.044087,2.312268,1.977669,1.705264,2.440403,2.614010,2.347417,2.525028,2.054618,2.156092,2.120656,2.124571,1.852718,2.248393,2.501900,1.904057,2.311795,1.930098,2.130344,2.085036,2.087865,1.590748,1.957328,1.954294,2.125031,2.092527,1.867916,1.819366,1.867900,1.932601,1.657037,1
2.436395,2.630457,2.398881,2.560962,2.528264,2.325562,2.418962,2.143060,1.711858,2.198662,2.404779,2.489177,2.472076,2.519461,2.002257,2.332160,1.870270,1.445458,2.343898,2.584675,2.810418,2.730385,2.420024,2.196018,2.311499,2.041335,1.571239,2.493422,2.644675,2.512229,2.619363,2.343476,2.084333,2.239223,1.900600,1.435038,2.205185,2.263178,2.180362,2.267926,2.037194,1.766265,1.887401,1.517721,1.301818,2.606374,2.766105,2.740102,2.780951,2.507231,2.054989,2.337669,1.807497,1.591869,2.443325,2.433854,2.304333,2.378103,2.149928,1.971984,2.056443,1.808372,1.778144,2.312783,2.565041,2.409011,2.515036,2.094696,2.134306,2.144312,2.029335,1.535251,2.306763,2.469476,2.133532,2.380157,2.161329,2.136534,2.143914,2.106571,1.670306,1
2.094958,2.418664,2.662058,2.577641,2.531989,2.071735,2.306729,1.770874,1.613653,2.144321,2.554088,2.553245,2.543722,2.463419,1.826870,2.252049,2.065595,1.760025,2.265893,2.755957,2.906867,2.832092,2.168755,1.985916,2.077149,2.086835,1.793153,2.333730,2.602290,2.512376,2.559690,2.113177,1.611886,1.940729,1.829783,1.568303,2.053419,2.460206,2.346989,2.425792,1.480007,1.717278,1.679226,2.057432,1.794652,2.556057,2.794067,2.547944,2.685826,2.424763,1.846152,2.219702,1.883282,1.805989,2.167198,2.614713,2.547287,2.566392,2.020649,1.929028,1.990078,2.003703,1.849852,2.005649,2.137144,2.400289,2.336179,2.099627,1.791477,1.961375,1.647098,1.393004,1.927550,2.192189,2.252458,2.258345,2.016924,2.036866,2.024783,2.044025,1.655076,1
1.690469,1.756418,2.135501,2.026209,1.682003,1.687043,1.654708,1.437398,1.552179,1.822130,2.258605,2.107024,2.191668,2.270154,1.688363,2.059906,1.796654,1.618427,1.602794,2.202341,2.209579,2.217676,1.732226,1.699260,1.689697,1.782894,1.658468,1.996283,2.371840,2.000457,2.236501,1.750082,1.710160,1.750045,1.586487,1.416654,2.119359,2.270698,2.116966,2.233893,1.766850,1.916167,1.840262,1.941952,1.654328,2.206786,2.763395,2.493377,2.630661,2.499661,2.022116,2.300124,1.783021,1.667444,2.638763,2.805556,2.636119,2.747227,1.914519,2.024927,1.989159,2.050637,1.833112,1.693732,1.760576,1.589721,1.743895,1.571000,1.892671,1.805928,1.658944,1.421826,1.261696,1.333231,1.825727,1.689093,1.894293,2.069454,1.976165,1.869780,1.615504,1
2.294398,2.275737,1.960602,2.197202,2.036270,1.966604,1.978833,1.598848,1.535690,2.215156,2.525378,2.502820,2.535289,1.967520,1.917418,1.973706,1.940248,1.524655,2.001827,2.136471,2.720522,2.561252,2.006224,2.057026,2.033548,1.911210,1.603951,1.831801,2.375544,2.322585,2.353115,1.583399,2.053055,1.925301,1.885751,1.405253,2.092341,2.317277,2.093778,2.241784,1.657718,1.698386,1.661662,1.624800,1.374763,2.301933,2.604350,2.422375,2.539153,1.746482,2.090716,1.992464,1.991997,1.647891,2.278182,2.690948,2.458201,2.583258,1.994244,1.960962,1.964212,2.014900,1.802456,1.808489,1.680431,1.512417,1.668193,1.742390,1.979688,1.920034,1.742893,1.437511,2.131949,2.302214,1.900872,2.181499,1.628815,1.795720,1.765134,1.913636,1.551653,1
2.471000,2.495208,2.327078,2.465509,2.145100,1.906431,2.008188,2.035688,1.791411,2.238107,2.509059,2.742439,2.644284,1.943130,1.773868,1.898579,1.793704,1.452828,2.236834,2.303415,2.709093,2.580990,1.961867,1.702879,1.867337,1.833910,1.610489,2.011267,2.374598,2.405329,2.404658,1.806511,1.616491,1.752879,1.562355,1.394334,2.055327,2.143005,2.211329,2.157961,1.459402,1.602880,1.551942,1.605184,1.310222,2.400501,2.598104,2.676135,2.651109,1.724247,1.879164,1.850006,1.817125,1.585617,2.297804,2.516281,2.610406,2.537627,1.913764,1.788348,1.851303,1.750055,1.678911,2.039241,2.259336,2.074417,2.225483,2.068719,1.638389,1.915590,1.614741,1.533335,2.221073,2.315620,1.912865,2.196042,1.946620,2.003505,1.897836,1.745522,1.546900,1
