@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.520589,2.342306,2.205122,2.296350,1.918976,1.685487,1.801394,1.505341,1.137543,1.013139,2.880039,2.858182,2.762837,2.819066,2.015066,1.784637,1.840551,1.489541,1.201107,0.910666,2.732792,2.727427,2.703567,2.722236,2.111596,1.835969,1.925550,1.496710,1.232296,0.928145,2.447784,2.543120,2.599200,2.543327,1.929356,1.595264,1.723208,1.472186,1.142370,0.794535,2.386266,2.355347,2.348366,2.365489,1.387699,1.487344,1.446968,1.501234,1.231646,0.898351,2.719880,2.833589,2.660928,2.733089,1.814421,1.653722,1.671225,1.654898,1.450260,1.168046,2.574552,2.503273,2.397603,2.482567,1.668167,1.634998,1.666084,1.582618,1.394887,1.032523,2.269290,2.306571,2.410564,2.364554,2.045317,1.592254,1.842608,1.379490,1.076490,0.962163,2.345111,2.311253,2.156393,2.251131,1.679566,1.622617,1.658699,1.541533,1.223476,1.109041,1
2.384054,2.453955,2.187968,2.387116,1.972108,1.768791,1.859865,1.628272,1.322352,0.975897,2.585016,2.658428,2.660100,2.679282,1.902927,1.832558,1.819662,1.410343,1.201865,1.053183,2.457776,2.584903,2.617956,2.604174,2.048282,1.973996,1.960340,1.454332,1.260734,1.034802,2.408767,2.595634,2.532566,2.549355,1.583318,1.492449,1.463592,1.218367,1.203869,0.848212,1.955928,1.986472,2.259418,2.117730,1.637874,1.621410,1.609529,1.270218,1.117272,0.915773,2.761620,2.853661,2.616030,2.760060,2.040595,1.914433,1.956946,1.634539,1.502546,1.155756,1.983527,2.043916,2.169170,2.104388,1.637286,1.716162,1.706517,1.562944,1.327705,1.115645,2.307185,2.473830,2.413806,2.463132,1.858795,1.522962,1.693213,1.474479,1.302076,0.830145,2.007445,2.199361,2.104977,2.182328,1.689669,1.821783,1.749926,1.511223,1.266146,1.088844,1
2.507424,2.575101,2.041932,2.428907,2.015848,1.729028,1.899019,1.630845,1.398370,1.169698,2.705976,2.805205,2.374648,2.652550,2.070515,1.651753,1.918070,1.713802,1.336171,0.928398,2.697579,2.738872,2.345434,2.617066,2.193765,1.751521,2.024024,1.709350,1.369295,0.963418,2.495712,2.548861,1.888308,2.367339,1.831828,1.582628,1.686777,1.364770,1.333839,0.930516,2.431170,2.527424,2.300484,2.420971,1.934353,1.518323,1.791022,1.625500,1.247241,0.842981,2.678927,2.776719,2.438000,2.654845,2.114146,1.806423,1.975653,1.700457,1.479020,1.129583,2.234606,2.572047,2.332560,2.439251,1.785974,1.661484,1.759593,1.742944,1.449102,1.014879,2.469281,2.532295,2.054107,2.406224,1.872199,1.722682,1.808925,1.518106,1.347021,1.088495,2.314845,2.427734,2.011319,2.290459,1.980906,1.670215,1.854755,1.581999,1.326608,1.079487,1
2.393092,2.552474,2.322198,2.455420,2.107595,2.083268,2.014386,1.368546,1.310070,1.217636,2.329943,2.366813,2.311993,2.369022,2.146402,1.671355,1.981355,1.591062,1.269904,0.877753,2.582598,2.570786,2.283932,2.488196,2.211963,1.803583,2.037433,1.479364,1.310260,0.925719,2.204953,2.058451,2.114504,2.145453,2.190230,2.180954,2.144828,1.445143,1.346820,0.982978,2.604137,2.575523,2.025840,2.439063,1.969665,1.605829,1.811449,1.361794,1.138551,0.832690,2.287175,2.300791,2.550474,2.477921,2.125787,1.907872,2.033762,1.684508,1.351789,0.993666,2.258057,2.381167,2.020790,2.270049,1.827403,1.804526,1.847578,1.684085,1.394084,1.011520,2.207100,2.350693,2.210222,2.283457,2.095208,2.201886,2.093265,1.547857,1.338548,1.204690,2.315059,2.371213,2.003752,2.260040,1.962880,1.809205,1.839231,1.359073,1.250282,1.185714,1
2.421273,2.598316,2.545758,2.568752,2.079411,1.899677,1.951369,1.402637,1.346968,1.290442,2.399239,2.492968,2.155864,2.389492,2.037024,1.590395,1.881396,1.348591,1.248231,0.863635,2.454124,2.502488,2.354539,2.457268,2.042558,1.673579,1.884611,1.153610,1.241318,1.052232,2.128891,2.018776,2.107414,2.107453,1.958476,2.089745,2.002346,1.471102,1.248975,1.023702,2.544489,2.550931,2.218994,2.450513,1.889835,1.637766,1.762135,1.209284,1.146711,0.891273,2.375792,2.524326,2.448336,2.516260,2.102710,1.931492,2.027931,1.653994,1.484437,1.102781,2.348541,2.411040,2.042992,2.294383,1.823374,1.824972,1.842670,1.624382,1.483434,1.119488,2.229859,2.286077,2.291230,2.288286,1.937452,1.988267,1.927503,1.524435,1.382756,1.319498,2.222329,2.391413,2.377553,2.383389,2.007019,1.850347,1.924726,1.627480,1.380454,1.256426,1
2.288702,2.379329,2.065835,2.262887,1.762631,1.471819,1.650547,1.448702,1.303275,1.214426,2.387420,2.619766,2.297767,2.507516,1.810508,1.693569,1.748563,1.505548,1.284339,0.886482,2.293389,2.494881,2.571083,2.538347,1.910015,1.644140,1.793105,1.477995,1.219274,0.995740,2.103954,2.256623,2.454432,2.389618,1.735419,1.537005,1.631563,1.285791,1.268939,0.932764,2.374546,2.481583,2.023987,2.328257,1.455780,1.600252,1.556658,1.483473,1.135008,0.852979,2.527941,2.615954,2.595540,2.633751,1.952312,1.776410,1.902868,1.653446,1.547759,1.255555,2.437499,2.542967,2.144905,2.418457,1.899590,1.623162,1.736187,1.355748,1.458686,0.946792,2.197426,2.321265,2.216510,2.292922,1.586589,1.440026,1.500688,1.206867,1.193343,1.136588,2.201238,2.297277,2.012573,2.205456,1.702209,1.484256,1.628961,1.492230,1.287858,1.153096,1
2.026302,2.284725,2.312101,2.292164,1.969917,1.477244,1.800009,1.613533,1.411908,1.260922,2.181156,2.335276,2.223593,2.288136,1.893988,1.554125,1.749224,1.400735,1.242390,0.921470,2.042640,2.528169,2.609838,2.526526,1.905254,1.424714,1.722622,1.462456,1.348366,1.025402,1.947003,2.212072,2.550321,2.424134,1.945778,1.375189,1.754780,1.327437,1.366325,1.086899,2.090970,2.150401,2.284117,2.194184,1.726864,1.325576,1.587117,1.299454,1.240541,0.884695,2.362900,2.295749,2.473217,2.435935,2.111326,1.871837,2.009230,1.706761,1.564007,1.232052,2.325198,2.342566,2.119790,2.253453,1.548571,1.429010,1.481068,1.279611,1.556062,1.107604,1.943115,2.301946,2.421325,2.375066,1.918973,1.686368,1.833861,1.673226,1.405268,1.232252,1.813135,2.121320,2.294445,2.218556,1.877599,1.138520,1.636534,1.202531,1.333155,1.206285,1
2.291875,2.481053,2.448378,2.433242,2.066083,2.050096,2.019989,1.613095,1.315540,0.915738,2.046988,2.284637,2.331035,2.267604,2.204648,1.860444,1.977793,1.216437,1.270075,0.852943,2.362873,2.612112,2.607472,2.573129,2.187458,1.848583,1.960615,1.382149,1.404719,1.012901,2.207696,2.307486,2.347221,2.318667,2.022776,1.847489,1.887538,1.359848,1.303782,0.970688,1.976866,2.205204,2.330368,2.211117,1.888771,1.537318,1.675027,1.193409,1.279019,0.758038,2.129003,2.006342,2.111277,2.065596,2.148437,1.774991,1.950226,1.304165,1.377750,1.044169,1.962322,2.316978,2.117217,2.202631,1.977031,1.942553,1.910779,1.552748,1.468476,1.001757,2.187895,2.277150,2.392172,2.309668,2.131018,2.224913,2.157734,1.743005,1.327261,0.986905,2.174806,2.399476,2.430779,2.373001,1.799731,1.724864,1.732850,1.332314,1.287192,0.882848,1
2.546674,2.617552,2.355928,2.490918,1.988135,2.093705,2.050902,1.828533,1.356952,1.016419,2.756811,2.717739,2.548154,2.660270,2.008197,1.757720,1.830303,1.490686,1.259116,0.797393,2.838348,2.842415,2.665879,2.784050,2.082373,1.812292,1.912599,1.586618,1.336878,0.965242,2.604600,2.512173,2.262862,2.430760,1.912392,1.913081,1.860355,1.545017,1.215658,0.969127,2.512103,2.556366,2.312931,2.469846,1.672933,1.550943,1.581867,1.351450,1.132104,0.689739,2.570846,2.340186,2.302412,2.342561,1.987677,1.791671,1.843131,1.497441,1.412344,0.960252,2.241158,2.319644,2.286736,2.300942,1.885065,1.951619,1.887810,1.712321,1.454709,1.023998,2.427732,2.336495,2.223235,2.280592,1.981467,2.158181,2.052573,1.744117,1.299494,1.107982,2.534086,2.589945,2.249200,2.446834,1.868206,1.882555,1.900870,1.638914,1.193745,0.881527,1
2.239810,2.413815,2.281267,2.333668,1.842126,1.915677,1.867476,1.746803,1.343485,1.092450,2.375827,2.416968,2.342837,2.395606,1.697023,1.682072,1.675500,1.497969,1.288522,0.929705,2.503098,2.544064,2.517622,2.548859,1.955548,1.840210,1.851204,1.580172,1.291223,1.012266,2.279651,2.322799,2.143528,2.250818,1.631171,1.576370,1.597613,1.604063,1.330852,0.991790,2.419634,2.474602,2.261630,2.386830,1.593789,1.497464,1.502839,1.360221,1.191649,0.959341,2.256050,2.244757,2.179027,2.212491,1.831851,1.606936,1.707503,1.628105,1.503383,1.098524,2.172500,2.238990,2.074473,2.159095,1.671995,1.628036,1.632910,1.555615,1.409718,1.166728,2.138960,2.356773,2.274351,2.307591,1.675272,1.683957,1.658713,1.672416,1.399212,1.152644,2.257104,2.328882,2.088674,2.223168,1.759560,1.711665,1.725227,1.489741,1.099007,0.916541,1
1.225834,1.737833,1.700906,1.728677,1.589875,1.916159,1.844115,2.003333,1.472477,0.809638,1.964724,2.265850,2.131039,2.169621,1.923521,1.837958,1.884485,1.732432,1.292204,0.854758,1.699659,2.052747,1.903771,2.000516,1.941439,1.984272,1.965407,1.838233,1.324498,0.887971,1.533867,1.838948,1.939560,1.907792,1.629113,1.701894,1.691926,1.768621,1.366962,0.811694,1.931012,2.091273,1.739421,1.972090,1.783845,1.791451,1.767290,1.582772,1.119812,0.756412,2.065443,2.140428,2.094729,2.125147,2.076491,1.675109,1.908491,1.582000,1.417915,1.059948,1.962037,2.234772,2.085674,2.142499,1.914466,1.863167,1.881091,1.846839,1.372784,1.038569,1.483961,1.747256,1.643174,1.724631,1.721500,1.929053,1.887877,2.026497,1.556788,0.931407,1.582622,1.978067,1.712409,1.861229,1.575919,1.598099,1.589352,1.619675,1.256491,0.793147,1
1.777864,2.045195,2.006768,2.018513,1.562419,1.844144,1.775987,1.935255,1.460918,0.959764,2.091115,2.395763,2.466783,2.402565,2.017628,1.622501,1.853118,1.391178,1.107057,0.702548,1.628986,2.261001,2.229454,2.241212,2.020975,1.749991,1.907244,1.659208,1.256189,0.807282,1.947801,2.239222,2.207990,2.169043,1.646987,1.568544,1.631395,1.506327,1.241894,0.808315,2.048329,2.229274,2.143260,2.184721,1.848432,1.547719,1.710407,1.369341,0.959609,0.708412,2.257576,2.421324,2.185654,2.313279,2.006077,1.719586,1.873835,1.539926,1.243052,0.936579,2.085009,2.239820,2.152873,2.187536,2.029325,1.796865,1.918469,1.535790,1.150414,0.915390,1.820825,2.287656,2.240648,2.195341,1.377243,1.711592,1.627320,1.896055,1.453907,0.944167,1.682794,2.112213,1.936137,2.017630,1.636786,1.537394,1.608665,1.575587,1.286283,0.997663,1
